"FIPS","Name of Area","Qualifying Name","Nation","State","County","Census Tract","Total Population","Not Hispanic or Latino","Not Hispanic or Latino: White Alone","Not Hispanic or Latino: Black or African American Alone","Not Hispanic or Latino: American Indian and Alaska Native Alone","Not Hispanic or Latino: Asian Alone","Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Not Hispanic or Latino: Some Other Race Alone","Not Hispanic or Latino: Two or More Races","Hispanic or Latino","Hispanic or Latino: White Alone","Hispanic or Latino: Black or African American Alone","Hispanic or Latino: American Indian and Alaska Native Alone","Hispanic or Latino: Asian Alone","Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Hispanic or Latino: Some Other Race Alone","Hispanic or Latino: Two or More Races","Population 25 Years and over","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate (Includes Equivalency)","Population 25 Years and Over: Some College","Population 25 Years and Over: Bachelor's Degree","Population 25 Years and Over: Master's Degree","Population 25 Years and Over: Professional School Degree","Population 25 Years and Over: Doctorate Degree","Median Household Income in 2018 Dollars [Dollars adjusted for inflation to match value in 2018]","Owner-Occupied Housing Units: Median Value [Dollars adjusted for inflation to match value in 2018]"
Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,SE_T038_001,SE_T038_002,SE_T038_003,SE_T038_004,SE_T038_005,SE_T038_006,SE_T038_007,SE_T038_008,SE_T091_001,RC2000SF3_RC2000SF3_025_H085001
"11001008410","Census Tract 84.10","Census Tract 84.10, District of Columbia, District of Columbia","00","11","001","008410",1445,1345,80,1227,21,0,0,0,17,100,0,0,0,0,0,100,0,969,341,258,208,123,13,7,19,65513.2600163532,158214.155792803
"11001008701","Census Tract 87.01","Census Tract 87.01, District of Columbia, District of Columbia","00","11","001","008701",2467,2419,30,2365,0,0,0,0,24,48,0,0,0,0,0,32,16,1705,444,466,444,173,128,27,23,60828.0179885527,168011.150652432
"11001008702","Census Tract 87.02","Census Tract 87.02, District of Columbia, District of Columbia","00","11","001","008702",1864,1833,32,1734,0,0,0,24,43,31,0,0,0,0,0,15,16,1180,522,328,222,93,15,0,0,45296.7203597711,168303.598260182
"11001008802","Census Tract 88.02","Census Tract 88.02, District of Columbia, District of Columbia","00","11","001","008802",4068,4025,17,3984,0,17,0,0,7,43,0,26,13,0,0,4,0,2724,1157,774,557,155,65,16,0,43030.4480784955,142275.761170423
"11001008803","Census Tract 88.03","Census Tract 88.03, District of Columbia, District of Columbia","00","11","001","008803",1940,1877,622,1183,5,42,0,0,25,63,42,0,0,0,0,7,14,890,223,317,213,99,38,0,0,26997.2142273099,134964.570976671
"11001008804","Census Tract 88.04","Census Tract 88.04, District of Columbia, District of Columbia","00","11","001","008804",2347,2314,17,2231,10,46,0,0,10,33,0,24,0,0,0,0,9,1502,534,574,345,16,25,8,0,37023.8438266558,126483.590351918
"11001008903","Census Tract 89.03","Census Tract 89.03, District of Columbia, District of Columbia","00","11","001","008903",2393,2369,14,2327,7,0,6,6,9,24,14,10,0,0,0,0,0,1725,730,520,320,130,25,0,0,44899.102207686,124290.233293792
"11001008904","Census Tract 89.04","Census Tract 89.04, District of Columbia, District of Columbia","00","11","001","008904",3161,3140,25,3106,9,0,0,0,0,21,0,21,0,0,0,0,0,1864,709,726,363,59,0,7,0,32565.380212592,157775.484381178
"11001009000","Census Tract 90","Census Tract 90, District of Columbia, District of Columbia","00","11","001","009000",2355,2313,14,2285,0,0,0,0,14,42,0,7,0,0,7,19,9,1853,621,567,307,237,78,16,27,34183.0662305805,178246.816923685
"11001009102","Census Tract 91.02","Census Tract 91.02, District of Columbia, District of Columbia","00","11","001","009102",4400,4376,10,4305,0,0,0,21,40,24,0,7,0,0,0,0,17,2718,863,987,566,180,111,11,0,41898.0678659035,150756.741795176
